No.,Category,Name,Importance,Discrimination Flag,In-Category Weighting,Overall Weighting of Question,Description,Good,Bad,Question,Explanation/Ground truth,Conditional score flag,Conditional applicability note,,,,,,,,,,,,,,,,,,,,
35,Flexibility,Multi-unit coverage,3 = not absolutely crucial,FALSE,3.57%,0.23%,"When multiple business units, divisions, or locations are in scope, the model should use a segmented structure with consolidation logic and, where applicable, inter-company eliminations and transfer pricing. A single-unit case satisfies this item by default.","Multiple units are handled with a segmented structure, proper consolidation, and inter-company eliminations or transfer pricing where applicable - or the case involves a single unit, in which case the item is satisfied by default.","Multiple units are in scope but the model lacks segmentation, consolidation logic, or required eliminations.","Where multiple business units, divisions, or locations are in scope, does the model use a segmented structure with appropriate consolidation logic and eliminations?","Multi-unit, multi-division, or multi-location models require a segmented structure, consolidation logic, and potentially inter-company eliminations. This shapes architecture significantly, and retrofitting segmentation later usually means a rebuild. Where the case involves only one unit, no segmentation is required and the item is satisfied.",TRUE,"Applies: cases with more than one business unit, division, product line, product category, geography, legal entity, site or asset class in scope, or where consolidating several builds is itself part of the deliverable. N/A: genuinely single-unit, single-entity cases with one revenue stream and one cost base. How to tell from the starting file: look on the assumptions tab for a product, segment, entity or region table, or for drivers stated per category - a product list with its own growth rate per category counts as multi-unit for the segmentation part of this item. Inter-company eliminations and transfer pricing are only in scope where separate legal entities or internal trade are actually stated; grade only what the case puts in scope. A list of comparable companies is input data for a valuation, not a set of segments, and does not trigger this item.",,,,,,,,,,34,67.73%,0.69%,,,,,,,,
36,Flexibility,Capitalization switches,3 = not absolutely crucial,FALSE,3.57%,0.23%,"Where the case warrants alternative accounting treatment, switches (flags) should allow assets to be capitalized or expensed without rebuilding the model. A case that never requires such a treatment change satisfies this item by default.",Switches allow the capitalize-versus-expense treatment to be changed where the case warrants it - or the case does not require such treatment changes.,"The case warrants capitalize-versus-expense analysis, but no switches exist and the change would require a rebuild.","Where the case warrants alternative accounting treatment, do switches allow assets to be capitalized or expensed without a rebuild?","Switches (flags) that toggle between capitalizing and expensing allow what-if analysis on accounting treatment without rebuilding the model. Where the case never raises such a question, the item is satisfied by default.",TRUE,"Applies: cases where capitalize-versus-expense is a live question - R&D, software or development costs, leases, tooling, major maintenance, exploration, borrowing costs - or where the brief asks for an accounting-treatment sensitivity or a comparison of treatments. N/A: cases where the treatment of every cost is settled by the brief or by the nature of the spend ('R&D is x% of net revenue', 'machines are depreciated straight-line over n years'), so a switch would toggle between one permitted answer and one forbidden one. How to tell from the starting file: read the cost and capex rules on the instructions and assumptions tabs. If the treatment of every category is prescribed, mark N/A. If a treatment is left open, or the brief asks what the result would be under the alternative, apply.",,,,,,,,,,35,68.42%,0.69%,,,,,,,,
37,Flexibility,Reuse as planning tool,2 = important,FALSE,7.14%,0.46%,"If the model was created to evaluate a business opportunity and later reuse (e.g., as an ongoing planning tool) is foreseeable, the design should support that reuse. If no reuse is foreseeable (i.e. ruled out in the instructions), the item is satisfied by default.","Design supports both initial evaluation and foreseeable later reuse (e.g., as a planning tool) - or no ongoing reuse is foreseeable.",Design suits only one-time evaluation despite a foreseeable need for ongoing reuse.,"Where the model is likely to be reused later (e.g., as an ongoing planning tool), does the build support that reuse?","A one-time transaction model differs from a planning tool in refresh cadence, required flexibility, and output depth. Where later reuse is foreseeable, that must shape design choices today; where no reuse is foreseeable, the item is satisfied by default. This item assesses the flexibility of the build; whether the overall structure matches the deal-versus-planning intent is assessed separately under Structure.",TRUE,"Applies: cases where the brief indicates the model will be refreshed, maintained or reused - budgeting, forecasting, FP&A, ongoing monitoring, a rolling plan, a tool to be handed to a client - or where reuse is the natural next step from the stated purpose. N/A: strictly one-off analyses where reuse is ruled out or clearly not contemplated - a one-time valuation answering a fixed question set from a static data pack. How to tell from the starting file: read the task framing at the top of the instructions tab. 'FP&A task', 'build an operating plan', 'monthly liquidity model' means apply. 'Valuation task - value the company from this data and answer these questions' means N/A.",,,,,,,,,,36,69.12%,0.69%,,,,,,,,
38,Flexibility,Time-period flexibility,0 = ultra important,FALSE,42.86%,2.79%,"Assumptions and time periods must be updated (rolled forward, extended, or re-granularized) without manual rework.",Assumptions and periods update easily; the model rolls forward without rework.,Updating periods or rolling forward requires extensive manual rework.,"Can time periods and their assumptions be updated - rolled forward, extended, or re-granularized - without manual rework?","Temporal flexibility means assumptions and time periods can be updated easily (e.g., rolling the model forward by a quarter, extending projections, or adjusting period granularity between monthly, quarterly, and annual) without manual rework. Date-driven logic should cascade from a single period-start cell. Critical for ongoing-use models.",TRUE,"Applies: any case with a period timeline - forecasts, schedules, budgets, roll-forwards, amortization or coupon schedules - where extending the horizon, rolling the start date forward, or changing granularity (daily, monthly, quarterly, annual) is conceivable. N/A: cases with no time dimension - a single-point valuation, a snapshot allocation, a one-shot sizing calculation. How to tell from the starting file: look for a model duration, start date, forecast period or maturity on the assumptions tab. Where a 'model duration' or 'forecast period' input exists, apply, and expect the horizon and every period header to be driven from that cell rather than hardcoded or extended by hand. A brief stating that the model 'must remain correct for any combination of the inputs' makes this item central rather than optional.",,,,,,,,,,37,69.81%,0.69%,,,,,,,,
39,Flexibility,"Driver-based, formula-linked architecture",0 = ultra important,FALSE,42.86%,2.79%,The model should be driver-based and formulaic so that changes to inputs or additions of new line items can be made quickly.,The model is driver-based and formulaic; changes and additions are quick.,The model relies on hardcoded values or rigid structures that require manual rework to update or extend.,"Is the model built in a flexible, dynamic way, so that changes or additions can be made quickly?","A flexible, dynamic build (driver-based, formulaic, no hardcoded calcs) allows the model to respond quickly to changes and remain useful over time.",FALSE,N/A,,,,,,,,,,38,70.50%,0.69%,,,,,,,,
40,Formatting,Actuals vs. forecast demarcation,1 = highly important,FALSE,5.72%,0.54%,"Actuals (historical, fixed) and forecasts (editable, driver-based) should be clearly separated by labeling, formatting or a vertical divider so the transition point is obvious.",Actuals and forecasts are clearly separated; the transition point is obvious.,"Actuals and forecasts look identical, are not labeled, and/or the transition point is unclear.",Are actuals clearly separated from forecasts (different formatting/a vertical divider)?,"Clear separation between actuals (historical, fixed) and forecast (editable, driver-based) prevents the user from accidentally overwriting history and makes the transition point obvious.",TRUE,"Applies: cases that supply historical or actual data alongside a forecast - opening or closing balances for a prior year, reported financials to be extended, a base period the model must continue from, actual-versus-budget columns. N/A in two distinct situations: cases that are entirely forward-looking with no historical period (a greenfield project, a new venture, a pure scenario build), AND cases that are entirely historical or static with no forecast at all (a table of reported figures, a comparable-company set). In both there is no transition point to mark. How to tell from the starting file: does the pack supply a closing balance sheet, prior-year actuals, or a base period the model must continue from? If yes, apply, and expect the boundary between the last actual and the first forecast column to be visible without reading formulas.",,,,,,,,,,39,71.20%,0.69%,,,,,,,,
41,Formatting,Input cells marked,1 = highly important,TRUE,2.00%,0.19%,"Input cells must be visually marked (color, shading, border) so users immediately know where they can safely enter values.",Input cells are clearly marked as safe-to-edit.,Input cells are not distinguished from formula cells via formatting.,"Are input cells visually marked (color, shading, or border) so users know where to enter values?","Input cells should be visually marked (color, shading, border) so users immediately know where they can safely enter values without destroying the model.",FALSE,N/A,,,,,,,,,,40,71.89%,0.69%,,,,,,,,
42,Formatting,Input cells data validation,2 = important,FALSE,2.29%,0.22%,"Key input cells should use data validation to constrain entries to allowable ranges or types, warning the user when an entry falls outside the range deemed appropriate.","Key input cells use data validation to constrain entries to sensible ranges, types, or lists, so an out-of-range entry is rejected or flagged at the point of entry.","Input cells accept any entry; no data validation constrains values, types, or lists, even where an out-of-range entry would break the model silently.",Do key input cells use data validation to constrain entries to allowable ranges or types?,"Data validation stops an implausible input at the point of entry rather than letting it propagate into the outputs, and a dropdown list also documents the permitted values for the next user. It is most valuable where a wrong entry is silent rather than obvious - a growth rate entered as 5 instead of 0.05, a scenario selector pointing at a case that does not exist, or a date outside the model's timeline.",TRUE,"Applies: cases calling for user-operated controls - scenario or case selectors, toggles, switches, sensitivity inputs, or a dropdown-driven choice such as coupon frequency or day-count basis - and cases containing bounded inputs where a wrong entry would propagate silently instead of breaking visibly (rates that must lie between 0% and 100%, dates that must fall inside the model timeline, a text input that must match one of a listed set of values). N/A: cases that are a fixed computation from a supplied input set, with no cell a user is expected to change after delivery. How to tell from the starting file: does the brief ask for scenarios or sensitivities, state that the model must remain correct for other input combinations, or hand over an input whose permitted values are enumerated? If yes, apply. Borderline: a 'model duration', 'start date' or 'frequency' input is user-operable even where no scenarios are requested, so apply where such a cell exists.",,,,,,,,,,41,72.58%,0.69%,,,,,,,,
43,Formatting,Reasonable number formats,2 = important,FALSE,2.29%,0.22%,"Number formats should be reasonable: no excess decimals, currency symbols where needed, thousands separators applied.",Number formats are sensible and professional.,"Number formats are unreasonable (e.g., excess decimals, missing symbols or separators).",Are chosen number formats reasonable?,"Reasonable number formats (no excess decimals, currency symbols where needed, thousands separators) make outputs readable and professional.",FALSE,N/A,,,,,,,,,,42,73.27%,0.69%,,,,,,,,
44,Formatting,Consistent number formats,1 = highly important,FALSE,5.72%,0.54%,Number formats must be consistent across the model for comparable values.,Number formats are consistent for comparable values across the model (also consistent is the number of shown decimals for comparable values).,Number formats vary inconsistently for comparable values.,Are chosen number formats used consistently?,Consistent number formats across the model avoid confusion and support quick visual scanning.,FALSE,N/A,,,,,,,,,,43,73.86%,0.59%,,,,,,,,
45,Formatting,No bright-yellow highlighting,1 = highly important,FALSE,5.72%,0.54%,"Bright yellow highlighting used during model construction to flag TBD, placeholder, or work-in-progress items must be entirely removed from the final deliverable. This does not apply to yellow used intentionally in the delivered model for a defined purpose - for example conditional formatting on error-check rows, a documented convention for marking input cells, or flagging assumptions that require periodic review - provided such usage is to be explained in the model's glossary or conventions guide.","No bright yellow cells signaling unfinished or placeholder work remain in the final product. Any yellow used intentionally for a documented, ongoing purpose (e.g., error-check conditional formatting, marked input cells, flagged review items) is explained in the glossary or conventions.","Cells with bright yellow fill that appear to mark unfinished, placeholder, or TBD items remain in the delivered workbook, signaling incomplete work - or yellow is used for an ongoing purpose but is not documented in the glossary, making it indistinguishable from leftover WIP markers.","Is the final product free of bright yellow highlighting signaling unfinished work, with any intentional use of yellow documented?","Bright yellow is the standard highlight color for work-in-progress or TBD items during model construction, and any left in the delivered file signals incomplete work. Yellow used deliberately for a defined, ongoing purpose - error-check conditional formatting, marked input cells, flagged review items - is acceptable, but only where the glossary or conventions section documents that meaning; otherwise the reader cannot distinguish it from a leftover WIP marker.",FALSE,N/A,,,,,,,,,,44,74.45%,0.59%,,,,,,,,
46,Formatting,Blue font for hardcoded inputs,1 = highly important,FALSE,5.72%,0.54%,Hardcoded inputs must use blue font per industry-standard color coding.,Hardcoded inputs consistently use blue font.,Inputs do not use blue font.,Is the font color of inputs blue?,"Blue font marks a cell as a hardcoded input that a user may safely change. Applied consistently, it lets an auditor see at a glance which numbers drive the model and which are derived from it.",FALSE,N/A,,,,,,,,,,45,75.01%,0.56%,,,,,,,,
47,Formatting,Black font for calculations,1 = highly important,FALSE,5.72%,0.54%,Formulas and calculations must use black font per industry-standard color coding.,Formulas and calculations consistently use black font.,Calculations do not use black font.,Is the font color of calculations black?,"Black font marks a cell as a formula calculated on its own sheet. Together with blue inputs, it lets a reviewer distinguish derived values from entered ones without clicking into each cell.",FALSE,N/A,,,,,,,,,,46,75.55%,0.54%,,,,,,,,
48,Formatting,Green font for cross-sheet links,2 = important,FALSE,2.29%,0.22%,Cells linking to other sheets should use green font per industry-standard color coding.,Cross-sheet links consistently use green font.,Cross-sheet links do not use green font.,Is the font color of calculation cells that are linked to other sheets green?,"Green font marks a formula that pulls its value from another sheet in the same workbook, so a reviewer can see immediately where a number crosses a sheet boundary and needs tracing elsewhere.",TRUE,"Applies: any case whose scope implies more than one sheet - in practice nearly all - so that inputs, calculations and outputs sit on different tabs and cross-sheet links exist to be colored. N/A: only where the case genuinely implies a single-sheet deliverable, so no cross-sheet reference can exist and the item could only ever be passed vacuously. How to tell from the starting file: if the case pack itself separates instructions, assumptions, data and questions across tabs, or the brief demands several schedules, apply. Note: this item gates only the green cross-sheet-link convention. Blue font for hardcoded inputs, black font for calculations, and the requirement that whatever color scheme is used be applied consistently are separate checks that stay in force for every model and are not switched off with it.",,,,,,,,,,47,76.09%,0.54%,,,,,,,,
49,Formatting,Red font for external links,3 = not absolutely crucial,FALSE,1.14%,0.11%,"Cells containing external links (references to other workbooks) should use red font per industry-standard color coding. If the model contains no external links, this item is satisfied by default.",External links consistently use red font - or no external links exist (satisfied by default).,"External links are present but do not use red font, making them indistinguishable from internal formulas or cross-sheet links.",Is the font color of cells that are linked externally red?,"Red font marks a formula that references another workbook. Because external links break when the source file moves and hide dependencies (see 'No external links'), they must be visible on sight. A model with no external links satisfies this item by default.",TRUE,"Applies: only where the case supplies data in a SEPARATE workbook, or explicitly permits or requires references to another file - a market-data extract, a supplied comparables workbook to be linked rather than copied, a group template fed from subsidiary files. N/A: self-contained case packs delivered as a single workbook - the normal situation - where external links should not exist at all and the color convention has nothing to describe. How to tell from the starting file: count the files handed over and read whether the brief permits or requires linking out. One file and no permission means N/A. Note: this item covers only the color convention where such links are legitimate. The requirement that a model contain no undisclosed external links to other workbooks is a separate danger check that stays in force for every model, so a build that links out anyway is still penalized there.",,,,,,,,,,48,76.64%,0.54%,,,,,,,,
50,Formatting,Consistent color coding,1 = highly important,FALSE,5.72%,0.54%,"The color-coding scheme (blue inputs, black formulas, green links, red external links) must be applied consistently throughout. Inconsistent color coding is worse than none.",Color coding is applied consistently across the entire model. Cell purpose is immediately clear from color alone.,"Color coding is applied inconsistently, making cell types unreliable to identify by color.",Is the industry-standard color coding used consistently?,"Color coding only works when applied consistently. Inconsistent color coding is worse than none, as it misleads the reader.",FALSE,N/A,,,,,,,,,,49,77.18%,0.54%,,,,,,,,
51,Formatting,Consistent formatting,1 = highly important,FALSE,5.72%,0.54%,"Formatting (fonts, sizes, alignment, borders, section styling) should be consistent across all sheets. Compare across sheets, not just within a single sheet.","The same font family, sizing, and styling are used consistently across all sheets for comparable content.","Different sheets use different fonts, sizes, or styles for comparable content.",Is formatting in general (especially font formatting) used consistently throughout the model?,"Consistent formatting overall (fonts, alignment, borders, section styling) is professional practice and supports efficient review.",FALSE,N/A,,,,,,,,,,50,77.72%,0.54%,,,,,,,,
52,Formatting,Limited color palette,2 = important,FALSE,2.29%,0.22%,"The number of additional colors used beyond the industry-standard blue/black/green/red convention should be limited to a small, cohesive palette rather than a wide variety of different colors.","Only a limited number of additional colors (or none) are used as font color (beyond the industry-standard blue/black/green/red convention), background color, and tab color, forming a cohesive palette rather than a rainbow of different hues.","A wide variety of different colors is used throughout the model, creating an unprofessional, overly colorful appearance.","Is the number of additional colors (beyond industry-standard coding) limited to a small, cohesive palette?",Limiting the additional color palette keeps the model professional and ensures the intentional industry-standard color coding remains the dominant visual signal. Too many colors distract and overwhelm the reader.,FALSE,N/A,,,,,,,,,,51,78.27%,0.54%,,,,,,,,
53,Formatting,No colors that mimic standard coding,2 = important,FALSE,2.29%,0.22%,"Additional colors must not closely resemble the standard blue/black/green/red coding, which would mislead the reader about cell types.","No additional colors closely resemble the blue, black, green or red used in the industry-standard color-coding convention.","Colors are used that closely resemble the industry-standard color coding, making it unreliable to identify cell types by color.",Are additional colors kept clearly distinct from the industry-standard blue/black/green/red coding?,"If additional colors resemble the standard coding colors, readers can no longer reliably identify inputs, formulas, cross-sheet links, and external links by color alone, undermining the primary purpose of the convention.",FALSE,N/A,,,,,,,,,,52,78.81%,0.54%,,,,,,,,
54,Formatting,Minimal non-standard color usage,2 = important,FALSE,2.29%,0.22%,The number of cells and elements carrying additional color formatting (beyond cells subject to the industry-standard color coding) should be limited to avoid visual clutter and distraction from the intentional coding scheme.,"Only a limited number of cells and elements beyond those subject to industry-standard color coding carry additional color formatting (font, background, or tab color).","Too many cells or elements are colored beyond the standard coding scheme, creating visual clutter that distracts from the intentional color-coding.",Are additional color-formatted cells and elements (beyond industry-standard coding) kept to a minimum?,"Even with an appropriate palette, applying color to too many cells or elements dilutes the visual signal of the industry-standard coding and makes the model look unprofessional.",FALSE,N/A,,,,,,,,,,53,79.35%,0.54%,,,,,,,,
55,Formatting,Sparing conditional formatting,2 = important,FALSE,2.29%,0.22%,"Conditional formatting should be limited to error-check rows, data-validation indicators, and threshold alerts, and must not override the blue/black/green/red color-coding convention.",Conditional formatting is limited and does not conflict with the color-coding scheme.,"Conditional formatting overrides color coding, making cell types unreliable to identify by color.","Is conditional formatting used sparingly, and not conflicting with the standard color-coding scheme?","Overuse of conditional formatting can override the blue/black/green/red color-coding convention and make cell colors unreliable for distinguishing inputs from formulas. Where used, it should be limited - primarily to error-check rows, data-validation indicators, and threshold alerts.",FALSE,N/A,,,,,,,,,,54,79.90%,0.54%,,,,,,,,
56,Formatting,Sparing border usage,3 = not absolutely crucial,FALSE,1.14%,0.11%,"Borders should be used sparingly to partition sections and separate key areas of the model. Excessive border usage creates a cluttered, unprofessional look.","Borders are used sparingly to partition sections; the model has a clean, uncluttered appearance.","Excessive borders are applied throughout the model, creating a cluttered and unprofessional look.",Are borders used sparingly to partition sections without excessive use?,"Borders should serve a structural purpose - partitioning information into logical sections. Overuse clutters the visual layout, makes sections harder to distinguish rather than easier, and looks unprofessional.",FALSE,N/A,,,,,,,,,,55,80.36%,0.46%,,,,,,,,
57,Formatting,Header & title shading,3 = not absolutely crucial,FALSE,1.14%,0.11%,"Shading (cell fill color) should be used consistently to highlight headers and titles only, making them visually distinct from data rows.","Shading is applied consistently to headers and titles only, making headings visually distinct from data rows in a professional manner.","Shading is applied excessively across many rows or sections, or headings are not visually distinct from data rows.","Is shading used consistently and only for headers and titles, following professional conventions?","Coloring and shading of subtitles, headers, and titles should be consistent. Shading applied beyond headers dilutes their visual prominence and creates clutter.",FALSE,N/A,,,,,,,,,,56,80.82%,0.46%,,,,,,,,
58,Formatting,Totals visually distinguished,2 = important,FALSE,2.29%,0.22%,Totals and subtotals should be bolded or otherwise visually distinguished from regular line items.,"Totals and subtotals are visually distinguished (e.g., bolded, underlined).",Totals and subtotals are indistinguishable from regular line items.,Are totals and subtotals bolded or otherwise visually distinguished from regular line items?,Totals and subtotals should be visible at first glance and therefore visually distinct from the regular line items feeding them.,FALSE,N/A,,,,,,,,,,57,81.28%,0.46%,,,,,,,,
59,Formatting,Consistent zoom level,2 = important,FALSE,2.29%,0.22%,"Every sheet should use the same zoom level across the entire workbook (commonly 75%, 80%, or 100%) so the model does not jump in scale when navigating between tabs.","All sheets use the same zoom level (commonly 100%, 80%, or 75%), providing a consistent viewing experience.","Zoom levels vary across sheets, creating an inconsistent and unprofessional viewing experience.","Is a consistent zoom level (100%, 80%, or 75%) applied across all sheets?","Inconsistent zoom levels across tabs disrupt the reader's experience and signal a lack of attention to detail. A uniform zoom (typically 100%, 80%, or 75%) across all sheets is professional practice.",FALSE,N/A,,,,,,,,,,58,81.73%,0.46%,,,,,,,,
60,Formatting,Active cell reset to A1 on all sheets,3 = not absolutely crucial,FALSE,1.14%,0.11%,"The cursor should be parked at cell A1 (or the sheet's designated home cell) on every sheet before delivery, so that each tab opens at its intended starting position.","The cursor is parked at A1, or at the sheet's designated home cell; each tab opens at its intended starting position.","The cursor is left mid-sheet on one or more tabs, causing sheets to open at unexpected positions.",Is the cursor parked at cell A1 (or the sheet's designated home cell) on every sheet?,Parking the cursor at A1 before delivery ensures the reader sees the top-left starting position of each sheet on opening. A cursor left mid-sheet is a common oversight that signals incomplete preparation.,FALSE,N/A,,,,,,,,,,59,82.19%,0.46%,,,,,,,,
61,Formatting,Text left-aligned,2 = important,FALSE,2.29%,0.22%,"Text values should be left-aligned, with one standard exception: column headers above numeric columns (e.g., period labels such as 'FY2024A') may be right-aligned or centered so they align with the values beneath them.",Body text and row labels are left-aligned; column headers over numeric columns may instead be right- or center-aligned.,"Text alignment is inconsistent or arbitrary (e.g., row labels right-aligned).",Are all text values left-aligned inside their cells?,Left-aligned text is the Excel default and the industry norm; row labels that drift to other alignments make a column of labels harder to scan. Column headers sitting above numeric columns are the standard exception and may be right-aligned or centered so they sit over their values.,FALSE,N/A,,,,,,,,,,60,82.65%,0.46%,,,,,,,,
62,Formatting,Numbers right-aligned,2 = important,FALSE,2.29%,0.22%,Numerical values should be right-aligned within their cells.,Numerical values are right-aligned.,Numerical values are not consistently right-aligned.,Are all numerical values right-aligned inside their cells?,"Right-aligned numbers line up on their digits, so magnitudes can be compared down a column at a glance. It is both the Excel default for numeric values and the industry norm.",FALSE,N/A,,,,,,,,,,61,83.11%,0.46%,,,,,,,,
63,Formatting,Negatives in parentheses,2 = important,FALSE,2.29%,0.22%,"Negative values should be displayed in parentheses, not with a minus sign, per finance convention.","Negative values use parentheses, e.g., (123).","Negative values use a minus sign, e.g., -123.",Are negative values displayed with parentheses format instead of -?,"Finance convention shows negatives in parentheses rather than with a minus sign, because parentheses are easier to spot when scanning a column of figures. The convention should be applied through number formatting so it holds everywhere the value appears.",FALSE,N/A,,,,,,,,,,62,83.57%,0.46%,,,,,,,,
64,Formatting,Zeros as dashes,3 = not absolutely crucial,FALSE,1.14%,0.11%,Zero values should be displayed as dashes (-) rather than '0' per finance convention.,Zero values display as dashes.,Zero values display as '0'.,Are numerical values that are zero displayed as dashes instead of 0?,"Finance convention displays zero as a dash rather than '0', which keeps a grid of figures readable and makes genuinely populated cells stand out. This is a display convention only - the underlying value remains zero.",FALSE,N/A,,,,,,,,,,63,84.01%,0.44%,,,,,,,,
65,Formatting,Thousands separators,3 = not absolutely crucial,FALSE,1.14%,0.11%,"Monetary and other (large) quantity values should be formatted with a thousands separator. Values that conventionally carry none - years (2024, not 2,024), percentages, valuation multiples (e.g., 7.5x), and per-unit figures - are excluded.","Thousands separators are applied to monetary and quantity values; years, percentages, multiples, and per-unit figures correctly carry none.","Large monetary/quantity values lack thousands separators, or separators are wrongly applied (e.g., years shown as 2,024).","Are monetary and quantity values formatted with a thousands separator, with years, percentages, multiples, and per-unit figures correctly excluded?","Thousands separators make large figures readable at a glance and are standard practice. Values that conventionally carry none - years (2024, not 2,024), percentages, valuation multiples, and per-unit figures - must be excluded, since a separator on a year is an immediate signal of careless formatting.",FALSE,N/A,,,,,,,,,,64,84.45%,0.44%,,,,,,,,
66,Formatting,Currency stated,1 = highly important,FALSE,5.72%,0.54%,"The currency used in the model must be clearly stated as a unit, and stated per block or column, especially in cases where FX is involved.","The currency is clearly stated as a unit, including for each block or column.","The currency is not stated, leaving values ambiguous.",Is the currency clearly stated as a unit inside the model?,"Currency is a unit like any other and should be stated wherever values are presented - in the block or column header, not only on a cover sheet. This becomes critical wherever FX is involved: without a stated currency per block, a reader cannot tell whether a figure has already been translated, and adding two currencies together is a silent and expensive error.",TRUE,"Applies: any case containing monetary values - nearly all - and with particular force where more than one currency appears or any FX translation is required, in which case the currency must be stated per block or per column and the rate used made explicit. N/A: only cases with no monetary figures anywhere - a pure volume, headcount, capacity, utilization, day-count or timing model. How to tell from the starting file: scan the assumptions tab and the answer tab for currency units or unit tags such as [$] or [EURm]. An FX table, or a mix of currency tags, means apply and grade strictly. A case whose answers are all in days, units or percentages means N/A.",,,,,,,,,,65,84.86%,0.41%,,,,,,,,
67,Formatting,Sufficient column widths,2 = important,FALSE,2.29%,0.22%,Column widths must be sufficient to display all values without truncation or '###'.,All values display fully; no truncation or '###'.,Some columns truncate values or show '###'.,Are all column widths sufficient to display values without truncation or displaying '###'?,Truncated values and '###' make a model unreadable and can hide the very figure the reader is looking for. Column widths must accommodate the values displayed.,FALSE,N/A,,,,,,,,,,66,85.28%,0.41%,,,,,,,,
68,Formatting,Reasonable column widths,3 = not absolutely crucial,FALSE,1.14%,0.11%,Column widths should not be excessive.,"Columns are no wider than their content requires; several full-width columns fit on screen at once, and long text is wrapped rather than accommodated by widening the column.","The model contains excessively wide columns (rule of thumb: wider than roughly 75-80 characters at the default font), or long text is left unwrapped.","Are column widths kept reasonable, with long text wrapped rather than accommodated by very wide columns?","Excessively wide columns push content off-screen and force horizontal scrolling to read a single row. Where a long text entry is needed, wrapping the text is preferable to widening the column.",FALSE,N/A,,,,,,,,,,67,85.69%,0.41%,,,,,,,,
69,Formatting,Consistent column widths,2 = important,FALSE,2.29%,0.22%,Calculation columns on a sheet should share a consistent width. Header/text/unit columns may be wider.,Calculation columns share a consistent width.,Calculation column widths vary inconsistently.,"Are column widths used consistently, with calculation columns on the same sheet sharing one width and header/text columns allowed to be wider?","Calculation columns of equal width keep the timeline visually even, so figures line up down the sheet and a resized column stands out immediately as an anomaly. Header, label, and unit columns are the standard exception and may be wider, since they carry text rather than periods.",FALSE,N/A,,,,,,,,,,68,86.10%,0.41%,,,,,,,,
70,Formatting,Consistent row heights,2 = important,FALSE,2.29%,0.22%,Row heights should be consistent within each tab.,Row heights are consistent within each tab - Header rows may be higher.,Row heights vary within a tab (exception: header rows).,Are all row heights consistent within each tab?,"Consistent row heights keep a sheet visually even and make it obvious when a row has been resized to accommodate or conceal something unusual. Header rows may be taller, as they often carry wrapped labels.",FALSE,N/A,,,,,,,,,,69,86.51%,0.41%,,,,,,,,
71,Formatting,Reasonable row heights,3 = not absolutely crucial,FALSE,1.14%,0.11%,Row heights should not be excessive.,"Row heights are reasonable - by default, rows should be only one line high. While rows higher than one line are acceptable, they should be used sparingly.",The model contains excessively tall rows (rule of thumb: taller than roughly 60 points).,Are row heights kept reasonable?,Excessively tall rows waste screen space and reduce the number of line items visible at once. Rows should be a single line high by default; taller rows are acceptable but should be used sparingly.,FALSE,N/A,,,,,,,,,,70,86.92%,0.40%,,,,,,,,
72,Formatting,No merged cells,1 = highly important,FALSE,5.72%,0.54%,"Merged cells break Excel's grid logic (broken formulas, sorting failures, reference errors). Use Center Across Selection instead to preserve grid integrity.",No merged cells; Center Across Selection is used where needed.,Merged cells are present. (Merged cells on the Instructions Tab are allowed),"Are merged cells avoided, with Center Across Selection used where centering across columns is needed?","Merging cells in financial models breaks Excel's grid logic, causing broken formulas, sorting failures, and reference errors. To achieve the exact same clean, centered look without compromising functionality, Center Across Selection should be used instead of merging cells.",FALSE,N/A,,,,,,,,,,71,87.32%,0.40%,,,,,,,,
73,Formatting,Print areas set,3 = not absolutely crucial,FALSE,1.14%,0.11%,Print areas should be defined on each tab so that only relevant content is included when the sheet is printed or exported to PDF.,"Print areas are defined on each tab, ensuring only relevant content prints.","Print areas are not defined; printing captures empty space, extraneous content, or misses relevant content.",Are print areas defined on each tab so only relevant content prints?,"Without defined print areas, printing or PDF export may include empty cells, scratch areas, or cut off relevant content. Setting print areas is a basic preparation step for any deliverable model.",TRUE,"Applies: cases whose deliverable is meant to be read away from Excel - a board or committee pack, an investment memo, a client-facing summary, an exhibit, or any brief asking for a printable or PDF output. Where it applies, judge it on the sheets a reader would actually print (cover, summary, statements, outputs), not on every tab of the workbook. N/A: cases whose deliverable is the working file itself - an answer tab to be filled in, a computational schedule, or any build whose calculation sheets run to dozens or hundreds of period columns, where a print area on the model tabs carries no quality signal and would not be set by a competent modeler. How to tell from the starting file: look for any instruction to present, print, export, circulate or PDF something outside the workbook or the existence of a summary (rather the ask for it). If the brief only asks for a model and a set of answers, mark N/A.",,,,,,,,,,72,87.72%,0.40%,,,,,,,,
